,property_title,property_location,property_area,property_bedrooms,property_bathrooms,property_description,property_agent,property_price,property_price_currency,property_price_amount
2766,5 bedroom townhouse for sale in Rhapta Road,"East Church Road, Rhapta Road, Westlands",5000 ft²,5,4,5 Bedroom Townhouse For Sale in Westlands,Royalgen Estates,"KSh 50,000,000",KSh,50000000.0
2767,4 bedroom townhouse for sale in Lavington,"Muthangari, Lavington, Dagoretti North",-,4,4,Lavington – Muthangari : 4 Bedroom Town House –...,Zyve,"KSh 55,000,000",KSh,55000000.0
2768,3 bedroom apartment for sale in Kileleshwa,"Kileleshwa, Kileleshwa, Dagoretti North",207 m²,3,4,3 Bedroom Apartment for Sale in Kileleshwa,Sky Limits Ventures,"KSh 19,000,000",KSh,19000000.0
2769,5 bedroom house for sale in Karen,"Karen, Langata",-,"5
 ",5,4 bedroomed house for sale in Karen,Twinrocks Property Managers,"KSh 130,000,000",KSh,130000000.0
2770,5 bedroom townhouse for sale in Karen,"6, Dagorreti Road, Karen, Langata",2024 m²,5,5,Exclusive Five Bedroom House For Sale in Karen,Westside Real Estate,"KSh 98,000,000",KSh,98000000.0
2771,5 bedroom house for sale in Rosslyn,"westlands, Lone Treee, Rosslyn, Westlands",-,5,5,5 Bedroom house to let in Rosslyn Estate,Crystal Valuers LTD,"KSh 85,000,000",KSh,85000000.0
2772,3 bedroom apartment for sale in Kilimani,"Kilimani, Dagoretti North",201 m²,3,2,3 bedroom apartment for sale in Kilimani (Kenya...,Pam Golding Properties,"KSh 21,000,000",KSh,21000000.0
2773,4 bedroom house for sale in Karen,"Karen, Langata",-,4,4,4 Bedroom House for Rent in Karen,Twinrocks Property Managers,"KSh 78,000,000",KSh,78000000.0
2774,4 bedroom villa for sale in Lavington,"Lavington, Dagoretti North",-,4,4,Lavington 4bedroom House on sale,Canaan Properties,"KSh 82,500,000",KSh,82500000.0
2775,2024 m² residential land for sale in Karen,"Karen Plains Road, Karen, Langata",2024 m²,-,-,0.5 Acre Plot For Sale in Karen Plains,Simkar Group Limited,"KSh 28,000,000",KSh,28000000.0
2776,2 bedroom apartment for sale in Kilimani,"Kilimani, Dagoretti North",-,2,2,2 bedroom apartment for sale,Sarabi Realty Group,"KSh 7,000,000",KSh,7000000.0
2777,5 bedroom villa for sale in Karen,"Karen, Langata",-,5,7,New spacious 5 bedrooms villa for sale in Karen,Kenya Classic Homes,"KSh 85,000,000",KSh,85000000.0
2778,4 bedroom house for sale in Karen,"Karen, Langata",-,4,4,Peaceful Dwellings: 4 Bedroom Townhouse for Sal...,Twinrocks Property Managers,"KSh 65,000,000",KSh,65000000.0
2779,2 bedroom apartment for sale in Garden Estate,"Garden Estate, Roysambu",-,2,2,LUXURY LIVING AT GARDEN CITY,Ricville Properties,"KSh 12,240,000",KSh,12240000.0
2780,2 bedroom apartment for sale in Kilimani,"Off kinadaruma road, Kilimani, Dagoretti North",120 m²,"2
 ",3,2 BEDROOMS APARTMENT FOR SALE IN KILIMANI,Abode Realty,"KSh 11,000,000",KSh,11000000.0
2781,5 bedroom house for sale in Lavington,"Lavington, Dagoretti North",4500 ft²,5,5,House for Sale in Lavington- Amboseli Road,Tysons Limited,"KSh 60,000,000",KSh,60000000.0
2782,5 bedroom house for sale in Karen,"Karen, Langata",16378209 m²,5,4,ROMANTIC CHARMER,Twinrocks Property Managers,"KSh 100,000,000",KSh,100000000.0
2783,3 bedroom apartment for sale in Kileleshwa,"Othaya road, Kileleshwa, Dagoretti North",-,3,4,Three and four bedrooms off-plan for sale in Ki...,Calmillers Holding Ltd,"KSh 19,000,000",KSh,19000000.0
2784,5 bedroom house for sale in Kiambu Road,"Runda Palm Gardens, Kiambu Road, Kiambu Road",-,5,5,5 Bedroom Villa For Sale In Runda Palm Gardens...,Royani Properties Limited,"KSh 70,000,000",KSh,70000000.0
2785,3 bedroom apartment for sale in Kilimani,"Kilimani, Dagoretti North",-,3,3,Brand new 2& 3 bedroom apartment with dsq sale.,Wilnas Property Ltd,"KSh 23,000,000",KSh,23000000.0
2786,1 bedroom apartment for sale in Kilimani,"Kilimani, Dagoretti North",-,1,1,1 bedroom apartment for sale,Sarabi Realty Group,"KSh 4,000,000",KSh,4000000.0
2787,2 bedroom apartment for sale in Loresho,"loresho, Loresho, Westlands",-,2,2,A PENT HOUSE TO LET IN LORESHO,Kena Consult ltd,"KSh 55,000",KSh,55000.0
2788,0.5 ac residential land for sale in Runda,"Riviera, Runda, Westlands",-,-,-,Beautiful Half acre plot,Rayalink Properties,"KSh 30,000,000",KSh,30000000.0
2790,1 bedroom apartment for sale in Kileleshwa,"Oloitpktok Road, Kileleshwa, Dagoretti North",79 m²,1,1,Spacious 1 & 2 Bedrooms apartment for sale in k...,Crystal Valuers LTD,"KSh 9,000,000",KSh,9000000.0
2791,3 bedroom apartment for sale in Lavington,"James Gichuri road, Kingara road, Lavington, Dagoretti North",-,3,2,3 bedroom apartment for sale,Aqua Property Solutions,"KSh 12,500,000",KSh,12500000.0
2792,3 bedroom apartment for sale in Kileleshwa,"Kileleshwa, Dagoretti North",-,3,3,Luxurious 3/4Br apartments - located in Kileles...,Upper Deck Homes,"KSh 10,500,000",KSh,10500000.0
2793,1 bedroom apartment for sale in Westlands Area,"Along Westland Road, Westlands Area, Westlands",-,1,1,WESTLANDS 1 BED APARTMENT,Splendour Real Estate,"KSh 9,000,000",KSh,9000000.0
2794,3 bedroom apartment for sale in Kilimani,"Kilimani, Dagoretti North",-,3,-,Kilimani 3bedroom plus Dsq apartment for sale,Canaan Properties,"KSh 12,000,000",KSh,12000000.0
2795,4 bedroom townhouse for sale in Lavington,"Lavington, Dagoretti North",-,4,4,Executive 4 bedroom Townhouse with Dsq,Wilnas Property Ltd,"KSh 45,000,000",KSh,45000000.0
2796,3 bedroom apartment for sale in Lavington,"Lavington, Dagoretti North",-,3,2,3 Bedroom Master Ensuite Apartment at Lavington,Afrique Properties Limited,"KSh 12,500,000",KSh,12500000.0
2797,2.5 ac commercial property for sale in Mombasa Road,"Mombasa Road, Mombasa Road",2 ac,-,-,Sunflag Open Yard Space For Rent Behind SGR,Sunflag Kenya,"KSh 200,000,000",KSh,200000000.0
2798,3 bedroom apartment for sale in Kilimani,"Along Riara Road, Nairobi, Kilimani, Dagoretti North",2200 ft²,3,3,Three Bedroom Apartment For Sale Along Riara Ro...,Coral Property International Ltd,"KSh 20,000,000",KSh,20000000.0
2799,2 bedroom apartment for sale in Kileleshwa,"Kileleshwa, Dagoretti North",95 m²,2,2,2 Bedroom Apartment for Sale in Kileleshwa,Ring Kenya Ltd,"KSh 11,000,000",KSh,11000000.0
2800,3 bedroom house for sale in Southlands,"Kitengera road, Southlands, Langata",-,3,2,THREE BEDROOM FOR SALE LANGATA,Pemukika Agency,"KSh 27,000,000",KSh,27000000.0
2801,5 bedroom townhouse for sale in Brookside,"Brookside, Westlands",400 m²,5,6,Beautiful & Spacious 5 Bedroom Townhouse on Bro...,A1 Properties Ltd,"KSh 60,000,000",KSh,60000000.0
2802,4 bedroom apartment for sale in Kileleshwa,"Kileleshwa, Kileleshwa, Dagoretti North",245 m²,4,5,EXTRAVAGANT 4BEDROOM ALL ENSUITE PLUS DSQ,Balis Properties,"KSh 21,500,000",KSh,21500000.0
2803,4 bedroom townhouse for sale in Karen,"Bogani Road, Karen, Langata",556 m²,4,5,Bogani Park - House Type A,Sakile Properties,"KSh 90,000,000",KSh,90000000.0
2804,5 bedroom house for sale in Garden Estate,"Garden Estate, Roysambu",1376 m²,5,7,Breathtaking 5br + Dsq Villa For Sale in the mo...,El Roi Properties,"KSh 70,000,000",KSh,70000000.0
2805,7 bedroom house for sale in Lavington,"Manyani East Road, Lavington, Dagoretti North",-,7,5,5 & 7 Bedroom Standalone House On One Acre For...,Coral Property International Ltd,"KSh 75,000,000",KSh,75000000.0
2806,2 bedroom apartment for sale in Dennis Pritt,"Dennis Pritt, Dagoretti North",-,2,2,Royal 2 bedroom for sale in Kilimani,-,"KSh 12,500,000",KSh,12500000.0
2807,4 bedroom apartment for sale in Kilimani,"Ring Road, Kilimani, Dagoretti North",-,4,-,Breathtaking apartments offering Luxurious city...,El Roi Properties,"KSh 16,000,000",KSh,16000000.0
2808,5 bedroom house for sale in Old Muthaiga,"Old Muthaiga, Muthaiga",-,5,4,Old Muthaiga House for Sale,HAMMOCK & PALMS AFRICA,"KSh 550,000,000",KSh,550000000.0
2809,3 bedroom apartment for sale in Kileleshwa,"Othaya road, Kileleshwa, Dagoretti North",179 m²,3,4,"SPECIAL OFFER ,PRICE DROP ON THIS 3BEDROOM WITH...",Prelax Properties,"KSh 15,500,000",KSh,15500000.0
2810,3 bedroom apartment for sale in Riverside,"Riverside Drive, Riverside, Westlands",154 m²,3,3,3 Bedroom Apartments for Sale on Riverside Driv...,Sky Limits Ventures,"KSh 16,500,000",KSh,16500000.0
2811,5 bedroom townhouse for sale in Lavington,"Lavington, Dagoretti North",-,5,6,Architectural masterpiece situated on a private...,Ricville Properties,"KSh 70,000,000",KSh,70000000.0
2812,6 bedroom house for sale in Karen,"Mkoma road, Karen, Langata",-,6,6,SIX BEDROOMS PLUS DSQ FOR SALE KAREN,Pemukika Agency,"KSh 90,000,000",KSh,90000000.0
2813,5 bedroom townhouse for sale in Spring Valley,"Spring Valley, Westlands",-,5,5,Spring Valley Five Bedroom Townhouse with DSQ F...,Ge-Mac Property Solutions,"KSh 65,000,000",KSh,65000000.0
